***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
*    46096 *        0 *     46096 * 19.319093 * 2195.5464 *
*    46257 *        0 *     46257 * 16.429720 * 1565.5357 *
*    46333 *        0 *     46333 * 29.595428 * 1783.0998 *
*    46554 *        0 *     46554 * 10.108652 * 1306.7988 *
*    47205 *        0 *     47205 * 21.604439 * 1048.0854 *
*    47381 *        0 *     47381 * 12.818383 * 969.91885 *
*    47919 *        0 *     47919 * 10.648618 * 1058.3147 *
*    48130 *        0 *     48130 * 5.2511081 * 1306.0515 *
*    48404 *        0 *     48404 * 13.235882 * 1313.7242 *
*    48754 *        0 *     48754 * 14.328299 * 1525.7544 *
*    48786 *        0 *     48786 * 14.414105 * 1432.2635 *
*    48865 *        0 *     48865 * 8.7792956 * 1625.2886 *
*    48992 *        0 *     48992 * 12.743588 * 1099.3394 *
*    49293 *        0 *     49293 * 8.6148013 * 1559.1394 *
*    49736 *        0 *     49736 * 16.735022 * 1459.0825 *
*    49934 *        0 *     49934 * 10.430243 * 1078.6921 *
*    50136 *        0 *     50136 * 27.832047 * 2424.2983 *
*    50494 *        0 *     50494 * 19.023342 * 2000.2702 *
*    50733 *        0 *     50733 * 6.7159335 * 1263.9978 *
*    50916 *        0 *     50916 * 8.1872849 * 1984.6381 *
*    51114 *        0 *     51114 * 6.2829354 * 1070.6732 *
*    51241 *        0 *     51241 * 17.407497 * 1471.5628 *
*    51340 *        0 *     51340 * 12.287727 * 1482.5542 *
*    51357 *        0 *     51357 * 7.3858435 * 448.58075 *
*    52727 *        0 *     52727 * 12.286851 * 1892.4874 *
*    52913 *        0 *     52913 * 32.752834 * 1902.4413 *
*    52917 *        0 *     52917 * 9.6645123 * 1395.4027 *
*    53771 *        0 *     53771 * 4.5913856 * 722.12821 *
*    54024 *        0 *     54024 * 10.882204 * 1392.6461 *
*    54121 *        0 *     54121 * 29.520372 * 1734.2374 *
*    54230 *        0 *     54230 * 18.580067 * 1510.7707 *
*    54566 *        0 *     54566 * 15.177074 * 1675.2592 *
*    54838 *        0 *     54838 * 6.2985084 * 1034.7521 *
*    54854 *        0 *     54854 * 18.050827 * 2783.8401 *
*    54923 *        0 *     54923 * 6.9415191 * 767.20143 *
*    55055 *        0 *     55055 * 19.121894 * 1595.1533 *
*    55134 *        0 *     55134 * 6.5209633 * 1045.9707 *
*    55396 *        0 *     55396 * 21.000516 * 1825.8946 *
*    55617 *        0 *     55617 * 17.959685 * 1268.6393 *
*    55901 *        0 *     55901 * 8.4041430 *  768.9987 *
*    56201 *        0 *     56201 * 39.732449 * 2234.9669 *
*    56570 *        0 *     56570 * 23.337873 * 1396.7937 *
*    56662 *        0 *     56662 * 21.751177 * 2042.1669 *
*    57033 *        0 *     57033 * 7.6218026 * 1163.7836 *
*    57052 *        0 *     57052 * 2.5075141 * 512.47578 *
*    57147 *        0 *     57147 * 3.3608564 * 433.61280 *
*    57319 *        0 *     57319 * 11.060500 * 1152.5263 *
*    57569 *        0 *     57569 * 5.1837315 * 818.02206 *
*    58284 *        0 *     58284 * 7.6884046 * 968.95711 *
*    58607 *        0 *     58607 * 12.247228 * 1403.1683 *
*    59295 *        0 *     59295 * 10.734331 * 1140.9882 *
*    59388 *        0 *     59388 * 20.535468 * 2218.0798 *
*    59401 *        0 *     59401 * 12.324328 * 1343.2637 *
*    59721 *        0 *     59721 * 19.206515 * 1875.9477 *
*    59763 *        0 *     59763 *  15.66643 * 1170.4866 *
*    59812 *        0 *     59812 * 7.9890910 * 1432.8162 *
*    59973 *        0 *     59973 * 20.770587 * 2260.6774 *
*    60273 *        0 *     60273 * 6.8204658 * 1277.7644 *
*    60331 *        0 *     60331 * 24.078180 * 1777.7077 *
*    60371 *        0 *     60371 * 8.0765272 * 1140.2680 *
*    60560 *        0 *     60560 * 10.811249 * 410.90680 *
*    61087 *        0 *     61087 * 7.4624276 * 675.34415 *
*    61341 *        0 *     61341 * 8.8631326 * 851.92033 *
*    61392 *        0 *     61392 * 23.250035 * 2414.2237 *
